year,costAnnualAgri
2020,0.0
2021,7800470.1555254925
2022,15757984.715128034
2023,27680771.218395613
2024,41817595.20252465
2025,55862723.04343039
2026,69683731.70584416
2027,83341895.28883757
2028,105133301.49737197
2029,126118311.00970517
2030,146729248.43966198
2031,166741581.64830056
2032,185665335.46480402
2033,203545937.39514753
2034,220495192.54529208
2035,236096792.9521913
2036,250277718.03788266
2037,262415495.4546529
2038,271784657.1099043
2039,277802991.4484144
2040,279154725.02202654
2041,278491509.0663138
2042,265830972.97777456
2043,253170436.88923568
2044,240509900.8006963
2045,227849364.7121573
2046,215188828.62361816
2047,202528292.535079
2048,189867756.44653997
2049,177207220.35800087
2050,164546684.26946166
