year,purCO2LULUCF
2020,1.112
2021,3.6861348034997725
2022,5.875746045922912
2023,7.673719932656839
2024,9.108733141691573
2025,10.219284108150084
2026,11.026649923001658
2027,11.495086728928381
2028,11.704087400583926
2029,11.66970517288789
2030,11.402955061165418
2031,10.924697393271883
2032,10.259336597561079
2033,9.426690996201597
2034,8.449140722541696
2035,7.363260844998937
2036,6.348415905621302
2037,5.299270351642768
2038,4.260982019009877
2039,3.2375197582917075
2040,2.2976014077844873
2041,1.3776353418643446
2042,0.6798380220271731
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
