year,techAgri,r,costTechAgri
2020,Agri01_AGC,DE1,0.0
2020,Agri01_AGC,DE2,0.0
2020,Agri01_AGC,DE3,0.0
2020,Agri01_AGC,DE4,0.0
2020,Agri01_AGC,DE5,0.0
2020,Agri01_AGC,DE6,0.0
2020,Agri01_AGC,DE7,0.0
2020,Agri01_AGC,DE8,0.0
2020,Agri01_AGC,DE9,0.0
2020,Agri01_AGC,DEA,0.0
2020,Agri01_AGC,DEB,0.0
2020,Agri01_AGC,DEC,0.0
2020,Agri01_AGC,DEE,0.0
2020,Agri01_AGC,DED,0.0
2020,Agri01_AGC,DEF,0.0
2020,Agri01_AGC,DEG,0.0
2020,Agri02_OFC,DE1,0.0
2020,Agri02_OFC,DE2,0.0
2020,Agri02_OFC,DE3,0.0
2020,Agri02_OFC,DE4,0.0
2020,Agri02_OFC,DE5,0.0
2020,Agri02_OFC,DE6,0.0
2020,Agri02_OFC,DE7,0.0
2020,Agri02_OFC,DE8,0.0
2020,Agri02_OFC,DE9,0.0
2020,Agri02_OFC,DEA,0.0
2020,Agri02_OFC,DEB,0.0
2020,Agri02_OFC,DEC,0.0
2020,Agri02_OFC,DEE,0.0
2020,Agri02_OFC,DED,0.0
2020,Agri02_OFC,DEF,0.0
2020,Agri02_OFC,DEG,0.0
2020,Agri03_No-till,DE1,0.0
2020,Agri03_No-till,DE2,0.0
2020,Agri03_No-till,DE3,0.0
2020,Agri03_No-till,DE4,0.0
2020,Agri03_No-till,DE5,0.0
2020,Agri03_No-till,DE6,0.0
2020,Agri03_No-till,DE7,0.0
2020,Agri03_No-till,DE8,0.0
2020,Agri03_No-till,DE9,0.0
2020,Agri03_No-till,DEA,0.0
2020,Agri03_No-till,DEB,0.0
2020,Agri03_No-till,DEC,0.0
2020,Agri03_No-till,DEE,0.0
2020,Agri03_No-till,DED,0.0
2020,Agri03_No-till,DEF,0.0
2020,Agri03_No-till,DEG,0.0
2020,Agri04_toGrassland,DE1,0.0
2020,Agri04_toGrassland,DE2,0.0
2020,Agri04_toGrassland,DE3,0.0
2020,Agri04_toGrassland,DE4,0.0
2020,Agri04_toGrassland,DE5,0.0
2020,Agri04_toGrassland,DE6,0.0
2020,Agri04_toGrassland,DE7,0.0
2020,Agri04_toGrassland,DE8,0.0
2020,Agri04_toGrassland,DE9,0.0
2020,Agri04_toGrassland,DEA,0.0
2020,Agri04_toGrassland,DEB,0.0
2020,Agri04_toGrassland,DEC,0.0
2020,Agri04_toGrassland,DEE,0.0
2020,Agri04_toGrassland,DED,0.0
2020,Agri04_toGrassland,DEF,0.0
2020,Agri04_toGrassland,DEG,0.0
2020,Agri05_Agroforestry,DE1,0.0
2020,Agri05_Agroforestry,DE2,0.0
2020,Agri05_Agroforestry,DE3,0.0
2020,Agri05_Agroforestry,DE4,0.0
2020,Agri05_Agroforestry,DE5,0.0
2020,Agri05_Agroforestry,DE6,0.0
2020,Agri05_Agroforestry,DE7,0.0
2020,Agri05_Agroforestry,DE8,0.0
2020,Agri05_Agroforestry,DE9,0.0
2020,Agri05_Agroforestry,DEA,0.0
2020,Agri05_Agroforestry,DEB,0.0
2020,Agri05_Agroforestry,DEC,0.0
2020,Agri05_Agroforestry,DEE,0.0
2020,Agri05_Agroforestry,DED,0.0
2020,Agri05_Agroforestry,DEF,0.0
2020,Agri05_Agroforestry,DEG,0.0
2020,Agri06_Biochar,DE1,0.0
2020,Agri06_Biochar,DE2,0.0
2020,Agri06_Biochar,DE3,0.0
2020,Agri06_Biochar,DE4,0.0
2020,Agri06_Biochar,DE5,0.0
2020,Agri06_Biochar,DE6,0.0
2020,Agri06_Biochar,DE7,0.0
2020,Agri06_Biochar,DE8,0.0
2020,Agri06_Biochar,DE9,0.0
2020,Agri06_Biochar,DEA,0.0
2020,Agri06_Biochar,DEB,0.0
2020,Agri06_Biochar,DEC,0.0
2020,Agri06_Biochar,DEE,0.0
2020,Agri06_Biochar,DED,0.0
2020,Agri06_Biochar,DEF,0.0
2020,Agri06_Biochar,DEG,0.0
2021,Agri01_AGC,DE1,1149889.7170347103
2021,Agri01_AGC,DE2,2507206.489859491
2021,Agri01_AGC,DE3,0.0
2021,Agri01_AGC,DE4,991460.6931683484
2021,Agri01_AGC,DE5,0.0
2021,Agri01_AGC,DE6,12364.156645275085
2021,Agri01_AGC,DE7,646631.4428646218
2021,Agri01_AGC,DE8,1093823.4849452644
2021,Agri01_AGC,DE9,2070285.926834005
2021,Agri01_AGC,DEA,1201484.8254857888
2021,Agri01_AGC,DEB,597826.4816443356
2021,Agri01_AGC,DEC,0.0
2021,Agri01_AGC,DEE,916912.1654873858
2021,Agri01_AGC,DED,682311.9239869
2021,Agri01_AGC,DEF,790610.7993986052
2021,Agri01_AGC,DEG,632059.5097642854
2021,Agri02_OFC,DE1,791871.6449952174
2021,Agri02_OFC,DE2,1726587.9484404414
2021,Agri02_OFC,DE3,1612.3245278980478
2021,Agri02_OFC,DE4,682769.4851223888
2021,Agri02_OFC,DE5,5183.782897977634
2021,Agri02_OFC,DE6,8514.57745610659
2021,Agri02_OFC,DE7,445302.7945038857
2021,Agri02_OFC,DE8,753261.6298123327
2021,Agri02_OFC,DE9,1425702.5679994014
2021,Agri02_OFC,DEA,827402.6205293076
2021,Agri02_OFC,DEB,411693.2540819592
2021,Agri02_OFC,DEC,43776.06132593798
2021,Agri02_OFC,DEE,631431.6356119793
2021,Agri02_OFC,DED,469874.16066357325
2021,Agri02_OFC,DEF,544454.1898202392
2021,Agri02_OFC,DEG,435267.83161659236
2021,Agri03_No-till,DE1,0.0
2021,Agri03_No-till,DE2,0.0
2021,Agri03_No-till,DE3,0.0
2021,Agri03_No-till,DE4,0.0
2021,Agri03_No-till,DE5,0.0
2021,Agri03_No-till,DE6,0.0
2021,Agri03_No-till,DE7,0.0
2021,Agri03_No-till,DE8,0.0
2021,Agri03_No-till,DE9,0.0
2021,Agri03_No-till,DEA,0.0
2021,Agri03_No-till,DEB,0.0
2021,Agri03_No-till,DEC,0.0
2021,Agri03_No-till,DEE,0.0
2021,Agri03_No-till,DED,0.0
2021,Agri03_No-till,DEF,0.0
2021,Agri03_No-till,DEG,0.0
2021,Agri04_toGrassland,DE1,12515.362365339839
2021,Agri04_toGrassland,DE2,27288.354074720446
2021,Agri04_toGrassland,DE3,25.482445096631064
2021,Agri04_toGrassland,DE4,10791.026010730327
2021,Agri04_toGrassland,DE5,81.9285824937366
2021,Agri04_toGrassland,DE6,134.57107970013377
2021,Agri04_toGrassland,DE7,7037.915640417018
2021,Agri04_toGrassland,DE8,11905.139314673599
2021,Agri04_toGrassland,DE9,22532.92484518225
2021,Agri04_toGrassland,DEA,13076.921851417725
2021,Agri04_toGrassland,DEB,6506.7240262565065
2021,Agri04_toGrassland,DEC,691.8713075333843
2021,Agri04_toGrassland,DEE,9979.642254611697
2021,Agri04_toGrassland,DED,7426.26083909097
2021,Agri04_toGrassland,DEF,8604.982284684496
2021,Agri04_toGrassland,DEG,6879.315193424156
2021,Agri05_Agroforestry,DE1,86734.2226734532
2021,Agri05_Agroforestry,DE2,189114.31484106046
2021,Agri05_Agroforestry,DE3,176.5989671538551
2021,Agri05_Agroforestry,DE4,74784.19126574727
2021,Agri05_Agroforestry,DE5,567.7831540069177
2021,Agri05_Agroforestry,DE6,932.6072750752098
2021,Agri05_Agroforestry,DE7,48774.308285586194
2021,Agri05_Agroforestry,DE8,82505.24228823186
2021,Agri05_Agroforestry,DE9,156158.14100746214
2021,Agri05_Agroforestry,DEA,90625.95381859026
2021,Agri05_Agroforestry,DEB,45093.033193427276
2021,Agri05_Agroforestry,DEC,4794.820820782868
2021,Agri05_Agroforestry,DEE,69161.12280616254
2021,Agri05_Agroforestry,DED,51465.62619973901
2021,Agri05_Agroforestry,DEF,59634.425899475675
2021,Agri05_Agroforestry,DEG,47675.17219315596
2021,Agri06_Biochar,DE1,0.0
2021,Agri06_Biochar,DE2,0.0
2021,Agri06_Biochar,DE3,0.0
2021,Agri06_Biochar,DE4,0.0
2021,Agri06_Biochar,DE5,0.0
2021,Agri06_Biochar,DE6,0.0
2021,Agri06_Biochar,DE7,0.0
2021,Agri06_Biochar,DE8,0.0
2021,Agri06_Biochar,DE9,0.0
2021,Agri06_Biochar,DEA,0.0
2021,Agri06_Biochar,DEB,0.0
2021,Agri06_Biochar,DEC,0.0
2021,Agri06_Biochar,DEE,0.0
2021,Agri06_Biochar,DED,0.0
2021,Agri06_Biochar,DEF,0.0
2021,Agri06_Biochar,DEG,0.0
2022,Agri01_AGC,DE1,2261570.11873859
2022,Agri01_AGC,DE2,4840290.408926825
2022,Agri01_AGC,DE3,0.0
2022,Agri01_AGC,DE4,1965872.3146514846
2022,Agri01_AGC,DE5,0.0
2022,Agri01_AGC,DE6,26798.222271772247
2022,Agri01_AGC,DE7,1239829.7507629888
2022,Agri01_AGC,DE8,2154192.9952764083
2022,Agri01_AGC,DE9,4009341.006351861
2022,Agri01_AGC,DEA,2358735.139659498
