year,costAnnualAgri
2020,0.0
2021,7800470.1555254925
2022,15757984.715128034
2023,27680771.218395613
2024,41817595.20252465
2025,55862723.04343039
2026,78413635.66096696
2027,100291327.64328668
2028,121352054.84048152
2029,141606385.34147525
2030,161486643.76009253
2031,180768297.95739153
2032,198961372.7625555
2033,216111295.6815595
2034,232329871.82036448
2035,247200793.2159242
2036,260651039.29027608
2037,272058137.6957068
2038,280696620.3396186
2039,286142683.19444925
2040,286918123.02067554
2041,285674392.501689
2042,282239485.92432094
2043,275270114.0809922
2044,260682166.11734462
2045,246094218.1536969
2046,231506270.19004926
2047,216918322.2264016
2048,202330374.26275393
2049,187742426.29910633
2050,173154478.33545858
