year,costAnnualFMs
2020,0.0
2021,22679511.708014067
2022,24632092.01266201
2023,27052201.37449281
2024,29991057.653670076
2025,33499878.710357442
2026,37629882.40471851
2027,42432286.59691687
2028,47958309.14711613
2029,54259167.91547991
2030,61386080.762171835
2031,69390265.5473555
2032,78322940.13119447
2033,88235322.37385246
2034,99178630.1354929
2035,111204081.27627969
2036,124362893.6563762
2037,138706285.13594607
2038,154285473.57515296
2039,171151676.83416045
2040,189316036.74685746
2041,208856092.55532768
2042,214006388.80583015
2043,219158164.9247569
2044,224311433.68291926
2045,229466207.85112867
2046,234622500.2001965
2047,239747219.451253
2048,244865329.91644928
2049,0.0
2050,0.0
